"aafc-aac","Agriculture and Agri-Food Canada","","","","2ABCCA59-6C57-4886-99E7-85EC6C719218"
"aandc-aadnc","Aboriginal Affairs and Northern Development Canada","","","","d54c8e31-8f3e-46c5-bdc5-d22bc553cbc2"
"acoa-apeca","Atlantic Canada Opportunities Agency","","","","C3DDAD27-EFA9-41AB-9D12-12856482C0A8"
"aecl-eacl","Atomic Energy of Canada Limited","","","org138","D623814A-10A8-439D-9A33-181CE5390B11"
"ahrc-pac","Assisted Human Reproduction Canada","Health Canada","","",""
"apa","Atlantic Pilotage Authority Canada","Atlantic Pilotage Authority","","","ED979C5D-69C9-48A4-A3E8-F69C71D8C3D6"
"apfc-fapc","Asia-Pacific Foundation of Canada","","","",""
"bc","Bank of Canada","","","boc-bdc","0513239b-b578-4e57-b02a-55ba669ab740"
"bdc","Business Development Bank of Canada","","","","A4DA1974-0BC6-4398-A8F9-049F422A6A92"
"bwbc-pbwc","Blue Water Bridge Canada","","","","87CDEC17-64E6-4613-999D-152A033A80C0"
"cannor","Canadian Northern Economic Development Agency","","","","63CFF5A6-FB76-4938-91EB-010D3C0673DE"
"capprt-tcrpap","Canadian Artists and Producers Professional Relations Tribunal","","","","0F2D6642-8818-4671-B4EF-253F1F47AB1D"
"cas-satj","Courts Administration Service","","","","4EFC4A27-695B-4AB7-B25D-252B3D85FE2D"
"catsa-acsta","Canadian Air Transport Security Authority","","","","130002B1-6961-4764-A041-744D87E89157"
"cb-cda","Copyright Board Canada","Copyright Board of Canada","","","0560B521-A423-4A01-A993-F8AA2EA353F5"
"cbc-radio-canada","Canadian Broadcasting Company","","","",""
"cbsa-asfc","Canada Border Services Agency","","","","33DD2B45-8215-44E1-9C60-D7E829B6D48E"
"cca-cac","Canada Council for the Arts","","","",""
"ccc","Canadian Commercial Corporation","","","","5EDE278A-55CB-49A3-9BF0-0D0DFC3A73D6"
"ccohs-cchst","Canadian Centre for Occupational Health and Safety","Canadian Centre for Occupational Health & Safety","","","5FEE6EF8-AA76-4351-818D-00589C947075"
"ccperb-cceebc","Canadian Cultural Property Export Review Board","","","",""
"cdc-ccl","Canadian Dairy Commission","","","","BFEDF818-5D2D-4478-A8F9-A7FF8D6B727F"
"cdev","Canada Development Investment Corporation","","","","2195E34B-E37F-4A34-A26B-15E9E487FE22"
"cdic-sadc","Canada Deposit Insurance Corporation","","","","9A7F872D-4071-4919-87C9-BE04BE38A124"
"ceaa-acee","Canadian Environmental Assessment Agency","","","","04F792C7-7836-4581-94ED-00BCCB22AB5D"
"ced-dec","Canada Economic Development for Quebec Regions","Economic Development Agency of Canada for the Regions of Quebec","Economic Development Agency of Canada for the Regions of Quebec","","5F75CE60-887A-43DC-B182-95FFB80407D0"
"ceic-caec","Canada Employment Insurance Commission","","","","7b3c91ea-cb69-4f29-ad0c-c5e77a26260a"
"ceifb-ofaec","Canada Employment Insurance Financing Board","","","org176","c9e743e8-367c-4e33-92a7-64d008f924dc"
"ceria-acire","Canada Emission Reduction Incentives Agency","Environment Canada,Canada Emission Reduction Incentives Agency","","org277","4E732FFD-F001-4612-8421-2840CE1E8D34"
"cfgb-cgfc","Canadian Forces Grievance Board","Military Grievances External Review Committee","","","C3C6F115-462E-40EE-AE9C-1957152F52E5"
"cfia-acia","Canadian Food Inspection Agency","","","","90D94FD0-5E79-4DBB-AF2A-B1DC881749FA"
"cgc-ccg","Canadian Grain Commission","","","","196FF0D1-A29E-48AD-829D-24D93D656EAF"
"chrc-ccdp","Canadian Human Rights Commission","","","","7989CBA8-1F59-47C1-B9BC-F5FA9A0E03E7"
"cic","Citizenship and Immigration Canada","","","","51383040-F4F9-4B96-9E6B-2D70AAFB522A"
"cics-scic","Canadian Intergovernmental Conference Secretariat","","","","AB62517F-41BF-49DA-AB49-4C03B9C2E683"
"cida-acdi","Canadian International Development Agency","","","",""
"cihr-irsc","Canadian Institutes of Health Research","","","","D767E220-09B6-4AE0-97B2-7E94683DB117"
"cirb-ccri","Canada Industrial Relations Board","","","","5B074ECE-DC3C-4091-A90E-7E419A186B38"
"citt-tcce","Canadian International Trade Tribunal","","","","8D7884DB-F877-467B-957D-501EC94ACA6D"
"clcl-sicl","Canada Lands Company Limited","Canada Lands Company","","org82","CEC34510-FAAB-4722-9787-0245DD0CFA58"
"cmc-mcc","Canadian Museum of Civilization","Canadian Museum of Civilization Corporation","","","4EA922BD-53C4-4905-848B-9329B98A0441"
"cmhc-schl","Canada Mortgage and Housing Corporation","","","","05AFE8D4-BE53-4853-B529-A79C78757969"
"cmhr-mcdp","Canadian Museum for Human Rights","","","","3174c597-4041-46cf-8319-49921da0f08b"
"cmip-mciq","Canadian Museum of Immigration at Pier 21","","","","7ccb5e75-7e34-486f-9229-2f573b583653"
"cmmgpi-sarpgm","Corporation for the Mitigation of Mackenzie Gas Project Impacts","","","org1","82a8e35c-fedb-4153-b66f-885494b3e9ec"
"cmn-mcn","Canadian Museum of Nature","","","","1A781743-7F0F-4A50-B620-CCCEE18D709C"
"cnlopb","Canada-Newfoundland and Labrador Offshore Petroleum Board","","","",""
"cnsc-ccsn","Canadian Nuclear Safety Commission","","","","261F1DF4-DD3A-4DAD-939B-55B4F2853FBB"
"cnsopb","Canada-Nova Scotia Offshore-Petroleum Board","","","",""
"cpc-cpp","Commission for Public Complaints Against the RCMP","Commission for Public Complaints Against the Royal Canadian Mounted Police","Commission for Public Complaints Against the Royal Canadian Mounted Police","","35e24585-b7b9-4def-a1be-93a185744753"
"cpc-scp","Canada Post","","","","d5a06ab7-88f9-45fa-8903-6245fd48216c"
"cra-arc","Canada Revenue Agency","","","","88B6EE4B-AA19-475B-B92A-2A80260806C2"
"crtc","Canadian Radio-television and Telecommunications Commission","","","","DFDD27DD-1BE6-4735-A763-F3D3360A46FE"
"csa-asc","Canadian Space Agency","","","","95F65CF9-ED6A-4630-9C1A-8339FDB15CF0"
"csc-scc","Correctional Service of Canada","Correctional Service Canada","","","3EEE5483-9B34-492D-AE39-3C378F3C2354"
"csec-cstc","Communications Security Establishment Canada","","","","321F1015-551D-45A0-B1B7-C1FDFCB20F66"
"csis-scrs","Canadian Security Intelligence Service","","","","F06CF54B-F618-4358-8F47-82B54D2979B7"
"csps-efpc","Canada School of Public Service","","","","892B1E0C-3389-4C9F-A6F0-92FE653016C1"
"cstm-mstc","Canada Science and Technology Museum","Canada Science and Technology Museums Corporation","","","6FDF2204-B9E0-40C3-8D1D-F23E08D7A072"
"cta-otc","Canadian Transportation Agency","","","","18CECF2C-DE86-43E2-8B4D-5B1E4C9EDD84"
"ctc-cct","Canadian Tourism Commission","","","org178","D34A790C-A2E2-48C1-80D8-705205E3D979"
"dcc-cdc","Defence Construction Canada","","","","AA37FA1C-BC8C-4196-9AC2-33B873C8C7A7"
"dfatd-maecd","Foreign Affairs, Trade and Development Canada","","","","d7c2580f-89c5-4705-9d56-6b0e8e5d9538"
"dfo-mpo","Fisheries and Oceans Canada","","","","E56460A0-2055-4BF4-A693-EA238E0746E7"
"dnd-mdn","National Defence","National Defence and the Canadian Forces","","","4CAEC647-C069-4C25-B1CD-17F648E5DBC0"
"dsd-mds","Department of Social Development","","","",""
"ec","Environment Canada","","","","49E2ADF4-AD7A-43EB-85C8-6433D37ED62C"
"ecbc-secb","Enterprise Cape Breton Corporation","","","org203","5BDA4BD0-A57D-4CFF-9DCB-51B9ABD7F5A4"
"edc","Export Development Canada","","","","978E1BC5-401F-4AF2-A8A5-BFBBEF62C818"
"elections","Elections Canada","","","","177F4C5D-5EB5-469F-B0DB-7CBF3CC313F9"
"erc-cee","RCMP External Review Committee","Royal Canadian Mounted Police External Review Committee","","","FE709A24-3483-49EF-9A04-8F61D0C2806F"
"esdc-edsc","Employment and Social Development Canada","Human Resources and Skills Development Canada","","","055ADCD8-8FDA-40DA-A5B7-689FF7DB57A6"
"fbcl-spfl","Federal Bridge Corporation","Federal Bridge Corporation Limited","","","f0942d98-3f6b-4614-b6bc-0a0bf6284cff"
"fcac-acfc","Financial Consumer Agency of Canada","","","","F5FFE147-68EC-4DC5-AA38-825F432002DC"
"fcc-fac","Farm Credit Canada","","","","215F5DF1-C82F-4B31-8899-735916A9C80C"
"feddevontario","Federal Economic Development Agency for Southern Ontario","FedDev Ontario","","","1918B8AE-B298-4809-B5DB-43100F93AEAC"
"ffmc-ocped","Freshwater Fish Marketing Corporation","","","","532D7148-51C2-458B-96C5-04DE52571FB0"
"fin","Department of Finance Canada","","","","05D03DCB-5906-4555-A5A1-84D86E9E94DD"
"fintrac-canafe","Financial Transactions and Reports Analysis Centre of Canada","","","","0C38B176-A05C-4462-8F16-AE8335F1A332"
"fja-cmf","Office of the Commissioner for Federal Judicial Affairs Canada","","","","CDCD07C8-6C96-4A4C-81C1-A03616CE28D1"
"fnsi-ispn","First Nations Statistical Institute","","","org120","c649b007-b104-40de-8917-a951a8dd3369"
"fntc-cfpn","First Nations Tax Commission","","","",""
"fpcc-cpac","Farm Products Council of Canada","","","","DFCB28FB-9A1F-48E4-8C3D-A916257CA7CF"
"glpa-apgl","Great Lakes Pilotage Authority Canada","Great Lakes Pilotage Authority","","","2F265480-9433-4458-9B0C-CB3E4872C89B"
"hc-sc","Health Canada","","","","BD26DB5E-82D2-42C1-99BB-08FCF6068FEE"
"hmirc-ccrmd","Hazardous Materials Information Review Commission Canada","Hazardous Materials Information Review Commission","","","A1A99158-C6CB-44F3-A1A9-0B474776E7A0"
"hrtc-tdpc","Human Rights Tribunal of Canada","Canadian Human Rights Tribunal","","","26F0D053-27F8-4EDE-B279-156E80C41A90"
"ic","Industry Canada","","","","06CC519C-E56E-4FC8-8B9C-BE0A461E3CD9"
"idrc-crdi","International Development Research Centre","","","",""
"infc","Infrastructure Canada","","","","AC76B01B-0569-4067-A427-D1F6183A8746"
"innovation","Canada Foundation for Innovation","","","",""
"irb-cisr","Immigration and Refugee Board of Canada","","","","E93D81B4-C6FC-475E-904A-825F56A4902F"
"irstrc-cvrrpi","Indian Residential Schools Truth and Reconciliation Commission","","","org245","179e0e74-4715-476e-8afa-7f6a2354c819"
"jccbi-pjcci","Jacques Cartier and Champlain Bridges Incorporated","","","",""
"jus","Department of Justice","Department of Justice Canada","Department of Justice Canada","","5f70b0df-d227-47ef-81fe-eb3a47c4ff0a"
"lac-bac","Library and Archives Canada","","","","75BDAB68-199F-4C06-92A3-E1E6769B0B8E"
"lp-bp","Library of Parliament","","","",""
"lpa-apl","Laurentian Pilotage Authority Canada","","","","B2EE0266-52E2-430B-A344-7237274F6104"
"mai","Marine Atlantic Inc.","Marine Atlantic Inc","","org238","1D15328A-ACFB-4793-8ABD-19D0A287A6AC"
"mint-monnaie","Royal Canadian Mint","","","org18","3BFB10CE-F739-4836-ABEF-FFF4C1CDA62E"
"mpa-apm","Montreal Port Authority","Old Port of Montreal Corporation","","",""
"mpcc-cppm","Military Police Complaints Commission of Canada","Military Police Complaints Commission","","","88E53539-2A56-4169-B682-C11DF3CB405F"
"nac-cna","National Arts Centre","","","",""
"nbc-ccbn","The National Battlefields Commission","National Battlefields Commission","","","fe84271e-2a3e-4a69-91a7-05fdb5d19ca8"
"ncc-ccn","National Capital Commission","","","","5409DA6C-F5D7-45A7-9DE2-7242D6464C74"
"ndcfo-odnfc","National Defence and Canadian Forces Ombudsman","","","",""
"neb-one","National Energy Board","","","","A3EE9522-882F-47B0-BA7D-83420DC8577C"
"nfb-onf","National Film Board","National Film Board of Canada","","","581B66BD-5C64-4F1F-86C8-D653A1539EAD"
"ngc-mbac","National Gallery of Canada","","","","3339DA23-42CD-4C47-BE17-6389004E08C1"
"nnpa-apn","Nanaimo Port Authority","","","",""
"npa-apn","Northern Pipeline Agency Canada","Northern Pipeline Agency","","","53e03e33-27af-492f-ba63-e25d8c7b91ef"
"nrc-cnrc","National Research Council Canada","","","","EF74C91F-8B81-4C59-8D5F-17094D96F057"
"nrcan-rncan","Natural Resources Canada","","","","9391E0A2-9717-4755-B548-4499C21F917B"
"nrtee-trnee","National Round Table on the Environment and the Economy","National Roundtable on the Environment and the Economy","","org100","9F10D599-6C3E-4780-9652-12BE4BD3634E"
"nserc-crsng","Natural Science and Engineering Research Canada","Sciences and Engineering Research Council of Canada","Science and Engineering Research Canada","serc-rsgc","ab393e59-2e93-4932-a447-179a784c2553"
"oag-bvg","Office of the Auditor General of Canada","","","","4DDD2FC7-A8EA-4633-841B-248A5F792540"
"oci-bec","The Correctional Investigator Canada","Office of the Correctional Investigator","","","11e44621-6b0c-47aa-88a2-4afa97e07090"
"ocl-cal","Office of the Commissioner of Lobbying of Canada","","","","6B85304C-C856-463D-A6DB-463091FEE549"
"ocol-clo","Office of the Commissioner of Official Languages","Office of the Commissioner of the Official Languages","","","E45B1486-67DB-431A-96C5-E127DF594DBA"
"ocsec-bccst","Office of the Communications Security Establishment Commissioner","","","","626F5B6F-4BC3-4622-A60C-EA10FDCCAA90"
"oic-ci","Office of the Information Commissioner of Canada","","","",""
"opc-cpvp","Office of the Privacy Commissioner of Canada","","Offices of the Information and Privacy Commissioners of Canada","","1E85EDF7-8D3C-4E68-8B47-D17B5A69BD42"
"org231","Law Commission of Canada","","","","DB890CD6-68E6-4765-81B5-0061F904F0B9"
"osfi-bsif","Office of the Superintendent of Financial Institutions Canada","Office of the Superintendent of Financial Institutions","","","4F01090B-C049-4CAF-9C6C-D00312B23DCB"
"osgg-bsgg","Office of the Secretary to the Governor General","","","","e887979c-ad8b-49b6-8fd8-026b2956451f"
"pab-cap","Pension Appeals Board","","","",""
"pacs-scnp","Public Appointments Commission Secretariat","","","",""
"papa-appa","Port Alberni Port Authority","","","",""
"pb","Port of Belledune","","","",""
"pbc-clcc","Parole Board of Canada","","","","6AF7EAE0-2351-43BB-AD44-262BDDD45E08"
"pc","Parks Canada","","","","B578A1C3-FDCF-4F36-89E2-3B2E75020C43"
"pch","Canadian Heritage","","","","9EEB1859-D658-4E1B-A0E0-45CFAB4E3E5A"
"pco-bcp","Privy Council Office","","","org173","26DF0856-0FA2-404C-87E9-21443F333990"
"petf-fpet","Pierre Elliott Trudeau Foundation","","","",""
"phac-aspc","Public Health Agency of Canada","","","","1C71053B-AA64-4646-956B-41631C396018"
"pmprb-cepmb","Patented Medicine Prices Review Board Canada","Patented Medicine Prices Review Board","","org15","13A37B05-6384-45FF-A2AE-2DE2CD380B59"
"polar-polaire","Canadian Polar Commission","","","","1B0F90FF-3458-47A6-99FD-28AF6E006D75"
"ppa-app","Pacific Pilotage Authority Canada","Pacific Pilotage Authority","","","4256F094-418D-4995-BB27-DE4D8B969644"
"ppp","PPP Canada Inc.","","","",""
"ppsc-sppc","Public Prosecution Service of Canada","","","","3E9C5012-AD1D-452C-9432-4C3A66E5F1F8"
"pptc","Passport Canada","","","",""
"ps-sp","Public Safety Canada","","","","7C0AF243-753A-465F-8D46-C4FF7397D9B6"
"psc-cfp","Public Service Commission of Canada","","","","2FFBA23B-83C0-425B-8846-952A407F3D6E"
"psdptc-tpfdc","Public Servants Disclosure Protection Tribunal Canada","Public Servants Disclosure Protection Tribunal","","","2EABB728-4065-45CB-BD57-F9DC195D5325"
"pshcp-rssfp","Public Service Health Care Plan","","","",""
"psi","Port of Sept-Iles","","","",""
"psic-ispc","Office of the Public Sector Integrity Commissioner of Canada","","","","fa99e4f5-bf48-4622-9fc1-722ac1dac79f"
"pslrb-crtfp","Public Service Labour Relations Board","","","","E359FC5E-4894-427A-AC68-013C197F47D7"
"pspib-oirpsp","Public Sector Pension Investment Board","Revera Inc.","","",""
"psst-tdfp","Public Service Staffing Tribunal","","","","1676844B-E41C-49C2-956C-14056AE1DF3C"
"ptr","Port of Trois-Rivières","","","",""
"pwgsc-tpsgc","Public Works and Government Services Canada","","","","39C93B4D-4F69-4F43-A5B6-FFF89E8B0DF2"
"qpa-apq","Quebec Port Authority","","","",""
"rcmp-grc","Royal Canadian Mounted Police","","","","32365B12-5BF6-4B3A-AD1F-F5DAD76D2FDB"
"rct-gtc","Registry of the Competition Tribunal","","","","760A68FA-0D34-4D8F-A146-294238D3C9EB"
"rti-tri","Ridley Terminals Inc.","","","org142","6B59D745-BFBA-4C90-B593-06CA740C7C0A"
"scc-ccn","Standards Council of Canada","","","","72F1CD74-BCD8-410F-9C67-D27AFDC2CA40"
"scc-csc","Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act","","","","6FAAC6D8-0E3C-4223-8280-CD9C057C5BA2"
"sct-trp","Registry of the Specific Claims Tribunal of Canada","Specific Claims Tribunal of Canada","","","0CA4C1A6-F751-438A-B215-000245174A3C"
"sdtc-tddc","Sustainable Development Technology Canada","","","",""
"sibc-cpivml","The Seaway International Bridge Corporation","","","",""
"sirc-csars","Security Intelligence Review Committee","","","","ED7F55BA-ECDA-4599-8358-6D767B54E0CC"
"sjpa-apsj","St. John's Port Authority","","","",""
"smrbc-sprsm","The St. Mary's River Bridge Company","","","",""
"spa-aps","Saguenay Port Authority","","","",""
"ssc-spc","Shared Services Canada","","","","a793f17d-6bcd-47dd-97fe-f00835fb4a0d"
"sshrc-crsh","Social Sciences and Humanities Research Council of Canada","Social Sciences and Humanities Research Council","","","DF295E03-841D-49BE-AAE6-32BB6AC093FB"
"statcan","Statistics Canada","","","","A0F0FCFC-BC3B-4696-8B6D-E7E411D55BAC"
"swc-cfc","Status of Women Canada","","","","B3B6BBB7-2A9B-466E-B454-254408A21280"
"tatc","Transportation Appeal Tribunal of Canada","","","","90819721-E2B5-48FF-AD4D-E8828C05947A"
"tb-ct","Treasury Board","","","","5ef94202-c990-4d72-bb9d-e0113d814c77"
"tbs-sct","Treasury Board of Canada Secretariat","","","","81765FCD-32B3-4708-A593-3AA00705E62B"
"tc","Transport Canada","","","","AEAE485F-42DE-4D33-AFA3-F8A3A76FC663"
"tf","Telefilm Canada","","","",""
"tpa-apt","Toronto Port Authority","","","",""
"tsb-bst","Transportation Safety Board of Canada","","","","6D84AB23-F352-42EF-9F6E-F025F17F9675"
"vac-acc","Veterans Affairs Canada","","","","EADD6F05-3BE4-4AF6-AD22-4045878B73CB"
"viarail","VIA Rail Canada Inc.","VIA Rail Canada","","org55555","E3AC5F42-93AA-4076-B4FE-9B2740013443"
"vrab-tacra","Veterans Review and Appeal Board","","","","8e8b4534-feb4-4980-8523-3fd66cb68568"
"wd-deo","Western Economic Diversification Canada","","","","45F867DE-3495-40D1-9A9F-CE66FBF27F28"
"wdba-apwd","Windsor-Detroit Bridge Authority","","","org55553","4593c98c-db81-4680-b978-d21e83dbbcd0"
"yesab-oeesy","Yukon Environmental and Socio-economic Assessment Board","","","",""
"ysrb-odsy","Yukon Surface Rights Board","","","",""
